,Experiment,low_batch_acc,high_batch_acc,high_batch_acc,processor,low_batch_val_acc,high_batch_val_acc,acc_pecent_diff,val_acc_percent_diff
0,MobilenetV2,0.9358198643,0.9851562381,0.9851562381,TPU,0.9375,0.7734375,5.136594228148999,19.17808219178082
1,MobilenetV2,0.9831989408,0.998980999,0.998980999,GPU,1.0,0.8203125,1.5923940993563277,19.742489270386265
2,VGG16,0.9065859914,0.7300781608,0.7300781608,TPU,1.0,0.7531250119,21.569218139560103,28.163991321125703
3,VGG16,0.9489247203,0.953125,0.953125,GPU,0.875,0.9140625,0.44165824427949696,4.366812227074235
4,Xception,0.9963037372,0.9989919066,0.9989919066,GPU,1.0,0.96875,0.5321866462178546,8.130081300813007
5,Xception,0.9862231016,0.9910156131,0.9910156131,TPU,1.0,0.921875,1.2863901337898414,3.1746031746031744
6,basic_mnist,0.9697999954,0.9453833699,0.9453833699,TPU,0.03819274902,0.05912780762,2.549795068439852,43.022891201580784
7,basic_mnist,0.9707166553,0.9353333116,0.9353333116,GPU,0.0439125374,0.08046591282,3.7127404123143144,58.77766663814281
8,boosted_mnist,0.9973458052,0.9974238873,0.9974238873,TPU,0.9951999784,0.9924999475,0.007828683210248053,0.27167389451678886
9,boosted_mnist,0.9992988706,0.9958748817,0.9958748817,GPU,0.9948999882,0.9901999831,0.3432271395965229,0.4735283026498742
10,custom_images,0.5665322542,0.390625,0.390625,TPU,0.8125,0.482812494,36.756186807992115,50.90470562542107
11,custom_images,0.549395144,0.4470108747,0.4470108747,GPU,0.875,0.484375,20.550712737279454,57.47126436781609
12,resnet-50,0.9801747203,0.9968749881,0.9968749881,TPU,1.0,0.243750006,1.689413040961454,121.60803864952908
13,resnet-50,0.994623661,0.9972826242,0.9972826242,GPU,1.0,0.5,0.26697673678288075,66.66666666666666
